paper,regression number,original table number,regression command,variance-covariance estimator
AbelerFalkGoetteHuffman_2011,1.0,1,reg,default
AbelerFalkGoetteHuffman_2011,2.0,1,reg,default
AbelerFalkGoetteHuffman_2011,3.0,1,reg,default
AbelerFalkGoetteHuffman_2011,4.0,1,reg,default
AbelerFalkGoetteHuffman_2011,5.0,1,reg,default
AbelerFalkGoetteHuffman_2011,6.0,1,reg,default
AbelerFalkGoetteHuffman_2011,7.0,1,tobit,default
AbelerFalkGoetteHuffman_2011,8.0,1,tobit,default
AbelerFalkGoetteHuffman_2011,9.0,1,tobit,default
AbelerFalkGoetteHuffman_2011,10.0,2,mlogit,default
AbelerFalkGoetteHuffman_2011,11.0,2,mlogit,default
AbelerFalkGoetteHuffman_2011,12.0,2,mlogit,default
AbelerFalkGoetteHuffman_2011,13.0,3,mlogit,default
AbelerFalkGoetteHuffman_2011,14.0,3,mlogit,default
AbelerFalkGoetteHuffman_2011,15.0,3,mlogit,default
AbelerFalkGoetteHuffman_2011,16.0,4,reg,default
AbelerFalkGoetteHuffman_2011,17.0,4,reg,default
AbelerFalkGoetteHuffman_2011,18.0,4,reg,default
AbelerFalkGoetteHuffman_2011,19.0,4,reg,default
AbelerFalkGoetteHuffman_2011,20.0,4,reg,default
AbelerFalkGoetteHuffman_2011,21.0,4,reg,default
AbelerFalkGoetteHuffman_2011,22.0,4,tobit,default
AbelerFalkGoetteHuffman_2011,23.0,4,tobit,default
AbelerFalkGoetteHuffman_2011,24.0,4,tobit,default
AkerKsollLybbert_2012,1.0,3,reg,cluster
AkerKsollLybbert_2012,2.0,3,reg,cluster
AkerKsollLybbert_2012,3.0,3,areg,cluster
AkerKsollLybbert_2012,4.0,3,areg,cluster
AkerKsollLybbert_2012,5.0,3,reg,cluster
AkerKsollLybbert_2012,6.0,3,reg,cluster
AkerKsollLybbert_2012,7.0,3,areg,cluster
AkerKsollLybbert_2012,8.0,3,areg,cluster
AkerKsollLybbert_2012,9.0,4,reg,cluster
AkerKsollLybbert_2012,10.0,4,areg,cluster
AkerKsollLybbert_2012,11.0,4,areg,cluster
AkerKsollLybbert_2012,12.0,4,reg,cluster
AkerKsollLybbert_2012,13.0,4,areg,cluster
AkerKsollLybbert_2012,14.0,4,areg,cluster
AkerKsollLybbert_2012,15.0,5,areg,cluster
AkerKsollLybbert_2012,16.0,5,areg,cluster
AkerKsollLybbert_2012,17.0,6,areg,cluster
AkerKsollLybbert_2012,18.0,6,areg,cluster
AkerKsollLybbert_2012,19.0,6,areg,cluster
AkerKsollLybbert_2012,20.0,6,areg,cluster
AkerKsollLybbert_2012,21.0,6,areg,cluster
AkerKsollLybbert_2012,22.0,7,areg,cluster
AkerKsollLybbert_2012,23.0,8,areg,robust
AkerKsollLybbert_2012,24.0,8,areg,robust
