paper,acronym in Young replication package,leverage (paper)
AbelerFalkGoetteHuffman_2011,AFGH,0.0147003055332002
AkerKsollLybbert_2012,AKL,0.0272486177365918
AlatasBanerjeeHannaOlkenTobias_2012,ABHOT,0.0100665879123104
AngristLavy_2009,AL,0.0956636887805496
AshrafBerryShapiro_2010,ABS,0.0171920926838048
Ashraf_2009,A,0.0390404805866463
BarreraOsorioBertrandLindenPerezCalle_2011,BBLP,0.149083998176248
BeamanMagruder_2012,BM,0.0196138205953243
BurdeLinden_2013,BL,0.2350542939132886
CaiChenFang_2009,CCF,0.0006359832701086
CallenIsaqzadehLongSprenger_2014,CILS,0.016205334031713
CameraCasari_2014,CC1,0.3353091680203381
CarpenterMatthewsSchirm_2010,CMS,0.0577981577706342
ChenChen_2011,CC2,0.1924762295659463
ChenLi_2009,CL,0.3250214353763103
ColeGineTobacmanTopalovaTownsendVickery_2013,CGTTTV,0.0730773086412342
DeMelMcKenzieWoodruff_2013,MMW2,0.0105988608223088
DupasRobinson_2013a,DR,0.0177619827362569
ErikssonRooth_2014,ER,0.0021718060852011
FehrGoette_2007,FG,0.100383808303182
FieldJayachandranPande_2010,FJP,0.0475648216399073
FieldPandePappRigol_2013,FPPR,0.0343683591492799
GalianiRossiSchargrodsky_2011,GRS,0.0005643760054754
GerberKarlanBergan_2009,GKB,0.0053404323568066
GineJakielaKarlanMorduch_2010,GJKM,0.0463455843411465
GuryanKroftNotowidigdo_2009,GKN,0.0174637765539187
HeffetzShayo_2009,HS,0.0098225520463875
IfcherZarghamee_2011,IZ,0.0198093289558922
KosfeldNeckermann_2011,KN,0.0955577741316004
KubeMarechalPuppe_2012,KMP,0.0387634407782569
LandryLangeListPriceRupp_2010,LLLPR,0.0078235924631264
LarkinLeider_2012,LL,0.0584930642210495
LazearMalmendierWeber_2012,LMW,0.0087900080460695
Thornton_2008,T,0.0945882492528214
VosslerDoyonRondeau_2012,VDR,0.0498351111840762
WisdomDownsLoewenstein_2010,WDL,0.0065464837174537
