paper,original table number,main table indicator
AbelerFalkGoetteHuffman_2011,1,1
AbelerFalkGoetteHuffman_2011,2,0
AbelerFalkGoetteHuffman_2011,3,0
AbelerFalkGoetteHuffman_2011,4,0
AkerKsollLybbert_2012,3,1
AkerKsollLybbert_2012,4,0
AkerKsollLybbert_2012,5,0
AkerKsollLybbert_2012,6,0
AkerKsollLybbert_2012,7,0
AkerKsollLybbert_2012,8,0
AkerKsollLybbert_2012,9,0
AlatasBanerjeeHannaOlkenTobias_2012,3,1
AlatasBanerjeeHannaOlkenTobias_2012,4,0
AlatasBanerjeeHannaOlkenTobias_2012,6,0
AlatasBanerjeeHannaOlkenTobias_2012,7,0
AlatasBanerjeeHannaOlkenTobias_2012,8,0
AlatasBanerjeeHannaOlkenTobias_2012,9,0
AlatasBanerjeeHannaOlkenTobias_2012,10,0
AngristLavy_2009,2,1
AngristLavy_2009,4,0
AngristLavy_2009,5,0
AngristLavy_2009,6,0
AngristLavy_2009,7,0
AngristLavy_2009,105,0
AshrafBerryShapiro_2010,2,1
AshrafBerryShapiro_2010,3,0
AshrafBerryShapiro_2010,4,0
AshrafBerryShapiro_2010,5,0
AshrafBerryShapiro_2010,103,0
Ashraf_2009,3,1
Ashraf_2009,4,0
Ashraf_2009,103,0
Ashraf_2009,104,0
BarreraOsorioBertrandLindenPerezCalle_2011,3,1
BarreraOsorioBertrandLindenPerezCalle_2011,4,0
BarreraOsorioBertrandLindenPerezCalle_2011,5,0
BarreraOsorioBertrandLindenPerezCalle_2011,6,0
BarreraOsorioBertrandLindenPerezCalle_2011,7,0
BarreraOsorioBertrandLindenPerezCalle_2011,8,0
BarreraOsorioBertrandLindenPerezCalle_2011,9,0
BarreraOsorioBertrandLindenPerezCalle_2011,10,0
BeamanMagruder_2012,2,1
BeamanMagruder_2012,3,0
BeamanMagruder_2012,4,0
BeamanMagruder_2012,5,0
BurdeLinden_2013,4,1
BurdeLinden_2013,5,0
CaiChenFang_2009,3,1
CaiChenFang_2009,4,0
CaiChenFang_2009,5,0
CaiChenFang_2009,6,0
CallenIsaqzadehLongSprenger_2014,4,1
CallenIsaqzadehLongSprenger_2014,5,0
CallenIsaqzadehLongSprenger_2014,7,0
CameraCasari_2014,7,1
CarpenterMatthewsSchirm_2010,2,1
CarpenterMatthewsSchirm_2010,3,0
ChenChen_2011,2,1
ChenLi_2009,7,1
ColeGineTobacmanTopalovaTownsendVickery_2013,5,1
ColeGineTobacmanTopalovaTownsendVickery_2013,6,0
ColeGineTobacmanTopalovaTownsendVickery_2013,7,0
DeMelMcKenzieWoodruff_2013,2,1
DeMelMcKenzieWoodruff_2013,3,0
DupasRobinson_2013a,2,1
DupasRobinson_2013a,3,0
DupasRobinson_2013a,4,0
DupasRobinson_2013a,103,0
DupasRobinson_2013a,104,0
ErikssonRooth_2014,6,1
ErikssonRooth_2014,7,0
ErikssonRooth_2014,8,0
ErikssonRooth_2014,9,0
FehrGoette_2007,3,1
FehrGoette_2007,5,0
FehrGoette_2007,6,0
FieldJayachandranPande_2010,2,1
FieldJayachandranPande_2010,3,0
FieldPandePappRigol_2013,1,1
FieldPandePappRigol_2013,2,0
FieldPandePappRigol_2013,3,0
FieldPandePappRigol_2013,4,0
FieldPandePappRigol_2013,5,0
GalianiRossiSchargrodsky_2011,4,1
GalianiRossiSchargrodsky_2011,5,0
GalianiRossiSchargrodsky_2011,6,0
GalianiRossiSchargrodsky_2011,7,0
GerberKarlanBergan_2009,2,0
GerberKarlanBergan_2009,3,1
GerberKarlanBergan_2009,4,0
GerberKarlanBergan_2009,102,0
GineJakielaKarlanMorduch_2010,5,1
GineJakielaKarlanMorduch_2010,6,0
GineJakielaKarlanMorduch_2010,7,0
GineJakielaKarlanMorduch_2010,8,0
GineJakielaKarlanMorduch_2010,9,0
GuryanKroftNotowidigdo_2009,4,1
GuryanKroftNotowidigdo_2009,5,0
GuryanKroftNotowidigdo_2009,6,0
GuryanKroftNotowidigdo_2009,7,0
GuryanKroftNotowidigdo_2009,8,0
HeffetzShayo_2009,1,0
HeffetzShayo_2009,2,1
HeffetzShayo_2009,3,0
IfcherZarghamee_2011,2,1
IfcherZarghamee_2011,3,0
KosfeldNeckermann_2011,2,1
KubeMarechalPuppe_2012,2,1
LandryLangeListPriceRupp_2010,3,1
LandryLangeListPriceRupp_2010,4,0
LarkinLeider_2012,1,1
LarkinLeider_2012,2,0
LarkinLeider_2012,3,0
LarkinLeider_2012,4,0
LarkinLeider_2012,5,0
LarkinLeider_2012,6,0
LazearMalmendierWeber_2012,1,1
LazearMalmendierWeber_2012,2,0
Thornton_2008,4,1
Thornton_2008,5,0
Thornton_2008,6,0
VosslerDoyonRondeau_2012,3,1
WisdomDownsLoewenstein_2010,1,1
WisdomDownsLoewenstein_2010,2,0
WisdomDownsLoewenstein_2010,3,0
WisdomDownsLoewenstein_2010,4,0
WisdomDownsLoewenstein_2010,5,0
